uniqueID;ID;location;maturity;totalDevelopers;complexityPoints;start;end;leadTime;technicalDebt;taskScaling;taskGlobalDistance
PC:14187;TURK-372;India;4;13;60;8/11/14;2/6/15;179d;796;0,216666666666667;1,25
PC:15448;BHA-328;Virtual;4;25;170;1/19/15;6/5/15;137d;2474;0,147058823529412;6,24474830914708
PC:13350;TELSTRA-038;India;4;7;35;2/9/15;4/2/15;52d;202;0,2;3,46399062714884
PC:13708;TURK-362;India;4;2;15;4/27/15;6/5/15;39d;0;0,133333333333333;3,46399062714884
PC:13756;IDEA-173;India;4;4;25;4/27/15;6/12/15;46d;626;0,16;3,46399062714884
PC:14475;TELSTRA-039;India;4;6;20;5/4/15;7/10/15;67d;52;0,3;3,46399062714884
PC:16334;VOICE-447;Virtual;4;9;70;7/27/15;10/30/15;95d;517;0,128571428571429;3,46399062714884
PC:16573;WIND-206;India;4;9;110;8/10/15;10/16/15;67d;3085;0,0818181818181818;3,46399062714884
PC:16456;VOICE-454;India;4;8;350;8/10/15;11/6/15;88d;3270;0,0228571428571429;3,46399062714884
PC:15952;TURK-394;India;4;2;10;8/10/15;8/28/15;18d;20;0,2;3,46399062714884
PC:14110;CHTT-036;India;4;8;100;8/10/15;12/18/15;130d;3834;0,08;3,46399062714884
PC:16121;VOICE-438;India;4;10;95;8/31/15;12/4/15;95d;1778;0,105263157894737;3,46399062714884
PC:15193;IND-176;India;4;6;50;10/12/15;1/15/16;95d;5429;0,12;3,46399062714884
PC:17377;VOICE-516;India;4;5;25;11/9/15;3/11/16;123d;666;0,2;3,46399062714884
PC:15940;CIN-296;India;2;6;100;1/18/16;5/13/16;116d;3329;0,06;3,46399062714884
PC:12670;VOICE-526;India;4;6;20;2/1/16;3/24/16;52d;4,2;0,3;3,46399062714884
PC:16519;ZAINK-057;India;4;3;25;3/7/16;5/4/16;58d;34;0,12;3,46399062714884
PC:16119;CIN-301;India;4;7;15;4/11/16;6/24/16;74d;37;0,466666666666667;3,46399062714884
PC:16528;ZAINK-066;India;4;5;20;4/11/16;6/3/16;53d;740;0,25;3,46399062714884
PC:18692;VOICE-562;Virtual;4;7;20;4/11/16;5/28/16;47d;1656;0,35;6,10327780786685
Pc:17363;FTML-066;India;4;5;30;4/25/16;7/15/16;81d;33;0,166666666666667;3,46399062714884
PC:16582;ZAINK-069;India;4;7;60;5/9/16;9/2/16;116d;876;0,116666666666667;3,46399062714884
PC:18718;VOICE-563;India;4;6;15;6/3/16;7/6/16;33d;260;0,4;3,46399062714884
PC:14113;BHA-300;Italy;0;4;50;8/11/14;11/21/14;102d;133;0,08;0,75432878673221
PC:14688;WATA-070;Italy;0;3;30;10/13/14;12/12/14;60d;1115;0,1;0,75432878673221
PC:16455;VOICE-453;USA;0;3;60;8/3/15;9/15/15;43d;18;0,05;4,08238872862956
PC:16498;VOICE-458;USA;0;3;110;8/24/15;12/4/15;102d;504;0,0272727272727273;4,08238872862956
PC:16604;VOICE-465;USA;0;3;100;12/7/15;2/12/16;67d;1643;0,03;4,08238872862956
PC:18315;VOICE-553;USA;0;4;50;5/9/16;7/9/16;61d;893;0,08;4,08238872862956
PC:15696;VOICE-419Â ;Sweden;4;4;35;4/13/15;5/22/15;39d;518;0,114285714285714;0
PC:16084;VOICE-436;Sweden;0;8;600;8/24/15;12/7/15;105d;4455;0,0133333333333333;0
PC:18374;VOICE-555;Virtual;2;4;30;3/21/16;4/15/16;25d;943;0,133333333333333;6,12246420171115
PC:12621;TURK-347;Turkey;4;4;35;12/2/13;1/31/14;60d;0;0,114285714285714;1,73182882092169