uniqueID;ID;location;maturity;totalDevelopers;complexityPoints;start;end;leadTime;technicalDebt;taskScaling;taskGlobalDistance
PC:14187;TURK-372;India;4.0;13.0;60.0;2014-08-11 00:00:00;2015-02-06 00:00:00;179.0;796.0;0.216666666666667;1.25
PC:15448;BHA-328;Virtual;4.0;25.0;170.0;2015-01-19 00:00:00;2015-06-05 00:00:00;137.0;2474.0;0.147058823529412;6.24474830914708
PC:13350;TELSTRA-038;India;4.0;7.0;35.0;2015-02-09 00:00:00;2015-04-02 00:00:00;52.0;202.0;0.2;3.46399062714884
PC:13708;TURK-362;India;4.0;2.0;15.0;2015-04-27 00:00:00;2015-06-05 00:00:00;39.0;0.0;0.133333333333333;3.46399062714884
PC:13756;IDEA-173;India;4.0;4.0;25.0;2015-04-27 00:00:00;2015-06-12 00:00:00;46.0;626.0;0.16;3.46399062714884
PC:14475;TELSTRA-039;India;4.0;6.0;20.0;2015-05-04 00:00:00;2015-07-10 00:00:00;67.0;52.0;0.3;3.46399062714884
PC:16334;VOICE-447;Virtual;4.0;9.0;70.0;2015-07-27 00:00:00;2015-10-30 00:00:00;95.0;517.0;0.128571428571429;3.46399062714884
PC:16573;WIND-206;India;4.0;9.0;110.0;2015-08-10 00:00:00;2015-10-16 00:00:00;67.0;3085.0;0.0818181818181818;3.46399062714884
PC:16456;VOICE-454;India;4.0;8.0;350.0;2015-08-10 00:00:00;2015-11-06 00:00:00;88.0;3270.0;0.0228571428571429;3.46399062714884
PC:15952;TURK-394;India;4.0;2.0;10.0;2015-08-10 00:00:00;2015-08-28 00:00:00;18.0;20.0;0.2;3.46399062714884
PC:14110;CHTT-036;India;4.0;8.0;100.0;2015-08-10 00:00:00;2015-12-18 00:00:00;130.0;3834.0;0.08;3.46399062714884
PC:16121;VOICE-438;India;4.0;10.0;95.0;2015-08-31 00:00:00;2015-12-04 00:00:00;95.0;1778.0;0.105263157894737;3.46399062714884
PC:15193;IND-176;India;4.0;6.0;50.0;2015-10-12 00:00:00;2016-01-15 00:00:00;95.0;5429.0;0.12;3.46399062714884
PC:17377;VOICE-516;India;4.0;5.0;25.0;2015-11-09 00:00:00;2016-03-11 00:00:00;123.0;666.0;0.2;3.46399062714884
PC:15940;CIN-296;India;2.0;6.0;100.0;2016-01-18 00:00:00;2016-05-13 00:00:00;116.0;3329.0;0.06;3.46399062714884
PC:12670;VOICE-526;India;4.0;6.0;20.0;2016-02-01 00:00:00;2016-03-24 00:00:00;52.0;4.2;0.3;3.46399062714884
PC:16519;ZAINK-057;India;4.0;3.0;25.0;2016-03-07 00:00:00;2016-05-04 00:00:00;58.0;34.0;0.12;3.46399062714884
PC:16119;CIN-301;India;4.0;7.0;15.0;2016-04-11 00:00:00;2016-06-24 00:00:00;74.0;37.0;0.466666666666667;3.46399062714884
PC:16528;ZAINK-066;India;4.0;5.0;20.0;2016-04-11 00:00:00;2016-06-03 00:00:00;53.0;740.0;0.25;3.46399062714884
PC:18692;VOICE-562;Virtual;4.0;7.0;20.0;2016-04-11 00:00:00;2016-05-28 00:00:00;47.0;1656.0;0.35;6.10327780786685
Pc:17363;FTML-066;India;4.0;5.0;30.0;2016-04-25 00:00:00;2016-07-15 00:00:00;81.0;33.0;0.166666666666667;3.46399062714884
PC:16582;ZAINK-069;India;4.0;7.0;60.0;2016-05-09 00:00:00;2016-09-02 00:00:00;116.0;876.0;0.116666666666667;3.46399062714884
PC:18718;VOICE-563;India;4.0;6.0;15.0;2016-06-03 00:00:00;2016-07-06 00:00:00;33.0;260.0;0.4;3.46399062714884
PC:14113;BHA-300;Italy;0.0;4.0;50.0;2014-08-11 00:00:00;2014-11-21 00:00:00;102.0;133.0;0.08;0.75432878673221
PC:14688;WATA-070;Italy;0.0;3.0;30.0;2014-10-13 00:00:00;2014-12-12 00:00:00;60.0;1115.0;0.1;0.75432878673221
PC:16455;VOICE-453;USA;0.0;3.0;60.0;2015-08-03 00:00:00;2015-09-15 00:00:00;43.0;18.0;0.05;4.08238872862956
PC:16498;VOICE-458;USA;0.0;3.0;110.0;2015-08-24 00:00:00;2015-12-04 00:00:00;102.0;504.0;0.0272727272727273;4.08238872862956
PC:16604;VOICE-465;USA;0.0;3.0;100.0;2015-12-07 00:00:00;2016-02-12 00:00:00;67.0;1643.0;0.03;4.08238872862956
PC:18315;VOICE-553;USA;0.0;4.0;50.0;2016-05-09 00:00:00;2016-07-09 00:00:00;61.0;893.0;0.08;4.08238872862956
PC:15696;VOICE-419Â ;Sweden;4.0;4.0;35.0;2015-04-13 00:00:00;2015-05-22 00:00:00;39.0;518.0;0.114285714285714;0.0
PC:16084;VOICE-436;Sweden;0.0;8.0;600.0;2015-08-24 00:00:00;2015-12-07 00:00:00;105.0;4455.0;0.0133333333333333;0.0
PC:18374;VOICE-555;Virtual;2.0;4.0;30.0;2016-03-21 00:00:00;2016-04-15 00:00:00;25.0;943.0;0.133333333333333;6.12246420171115
